physique	1.151489764050346
mathias	2.513217600067939
fink	2.513217600067939
un	0.033210657110788355
bel	1.6681195600536822
exemple	0.6807086873617026
de	0.0
chercheur	0.9111576087399766
qui	0.043395584089775965
innove	1.9111576087399766
le	0.0026725898613268752
27	1.471824914909714
avril	1.1707949192457328
dernier	0.4163075870598826
cnrs	0.5354939947790912
décernait	2.513217600067939
pour	0.02325912064310432
la	0.0013342390890645809
première	0.471824914909714
fois	0.5354939947790912
médaille	1.471824914909714
l	0.0
innovation	0.6267268748954572
dont	0.2652443337061324
valérie	2.2121876044039577
pécresse	2.2121876044039577
ministre	1.4340363540203143
enseignement	0.9004337433482035
supérieur	1.0218559062336663
et	0.0
recherche	0.28022148967578514
est	0.05685156693889597
à	0.0
origine	1.1707949192457328
création	0.9004337433482035
souhaite	1.1707949192457328
ainsi	0.20358743264204027
honorer	2.513217600067939
des	0.005361728372108108
chercheurs	0.3518495978329641
ingénieurs	0.8600050862925953
travaillant	1.4340363540203143
dans	0.04932461108203172
établissements	1.367089564389701
publics	1.23446399911511
universités	1.0818538359089518
grandes	0.9004337433482035
écoles	1.4340363540203143
mais	0.25314621208286425
aussi	0.24137599353144004
industriels	0.5994037476842223
développent	1.6101276130759954
innovations	1.0818538359089518
marquantes	2.513217600067939
cette	0.09491630874819354
édition	0.78894173046715
nouvelle	0.6558851036366705
distinction	1.9111576087399766
a	0.12582777372920959
été	0.2776891531603901
attribuée	2.2121876044039577
trois	0.5736983474493205
réputés	1.6681195600536822
économiste	1.8142475957319202
esther	2.513217600067939
duflo	2.513217600067939
roboticien	2.2121876044039577
françois	1.471824914909714
pierrot	2.2121876044039577
physicien	1.6681195600536822
directeur	0.7070376260840519
institut	0.5541762077468454
langevin	2.2121876044039577
ondes	1.471824914909714
images	1.3371263410122578
créé	1.212187604403958
en	0.005361728372108108
janvier	1.0218559062336663
2009	1.212187604403958
au	0.0583727400594288
sein	0.3959463044121747
ecole	0.7573427443954476
chimie	1.0218559062336663
industrielles	1.212187604403958
ville	1.3371263410122578
paris	0.5994037476842223
espci	1.8142475957319202
remarquable	1.6681195600536822
ces	0.17079491924573278
innovent	2.2121876044039577
les	0.005361728372108108
travaux	0.5264458658016942
son	0.2957336558540327
équipe	0.6439858803369628
ont	0.2652443337061324
effet	0.36708956438970103
abouti	1.8142475957319202
quatre	1.1152775913959014
start	1.151489764050346
ups	1.9111576087399766
totalisent	2.513217600067939
230	2.2121876044039577
personnes	0.6558851036366705
domaines	0.78894173046715
variés	1.513217600067939
que	0.06605956872571982
médecine	1.5589750906286142
télécommunications	1.5589750906286142
multimédia	2.513217600067939
ou	0.25314621208286425
encore	0.48791173480316874
objets	1.367089564389701
tactiles	2.2121876044039577
j	1.133006358356333
aime	2.513217600067939
transformer	1.8142475957319202
idées	1.257945094964633
très	0.3578815626028772
fondamentale	1.367089564389701
produits	0.7972142564331398
innovants	1.3371263410122578
précise	0.5994037476842223
d	0.008067621748033046
emblée	1.282768678689665
y	0.3926436688620891
parvenir	1.0660595687257197
il	0.14960562017579468
fallait	1.6101276130759954
trouver	1.0818538359089518
terrain	1.212187604403958
propice	2.0360963453482768
c	0.24839977705840255
fin	0.8056474239700027
années	0.5003803753627668
1980	1.8142475957319202
occasion	0.6807086873617026
une	0.033210657110788355
rencontre	1.212187604403958
avec	0.14586167904192004
georges	1.8142475957319202
charpak	2.513217600067939
prix	1.0360963453482765
nobel	1.6681195600536822
1992	1.7350663496842953
qu	0.19099830533401974
va	0.5541762077468454
découvrir	1.1707949192457328
coeur	0.9450158760009439
montagne	1.9111576087399766
sainte	2.513217600067939
geneviève	1.9111576087399766
plein	1.5589750906286142
alors	0.37967869169772145
plus	0.11181705928639493
grands	0.9004337433482035
laboratoires	0.8230215200394253
français	0.7003042434250835
du	0.02325912064310432
solide	1.257945094964633
faire	0.47979384458098934
autour	0.5589750906286142
concept	1.3090976174120141
renversement	2.513217600067939
temps	0.6381563366762389
belle	1.7350663496842953
comme	0.2827686786896651
qualifient	2.513217600067939
connaisseurs	2.2121876044039577
intéresse	1.133006358356333
secteur	0.727887765057172
aéronautique	1.133006358356333
dassault	2.2121876044039577
aerospatial	2.513217600067939
snecma	2.2121876044039577
turboméca	2.513217600067939
prêts	2.2121876044039577
financer	1.5589750906286142
époque	1.6681195600536822
milieu	1.212187604403958
peu	0.6807086873617026
enclin	2.2121876044039577
travailler	0.9111576087399766
industrie	0.727887765057172
autant	0.4838338223827294
si	0.4487596108410205
celle	0.517582405470389
ci	0.34590026531976287
militaro	2.513217600067939
industrielle	1.133006358356333
se	0.21002154264745013
retrouve	1.513217600067939
isolé	1.9111576087399766
lui	0.7350663496842954
propose	1.0660595687257197
rencontrer	1.6681195600536822
pierre	1.0218559062336663
gilles	1.8142475957319202
gennes	2.513217600067939
jacques	1.6101276130759954
lewiner	2.513217600067939
scientifique	0.7138770506143574
endroit	1.9111576087399766
sympathique	2.2121876044039577
je	1.008067621748033
ai	1.257945094964633
rencontré	1.7350663496842953
était	0.7808238402449705
ils	0.4838338223827294
m	1.3371263410122578
dit	0.727887765057172
vous	0.8319763626923518
